smiles,temperature,ionic
O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+]<sep>3.792595<sep>O=C1OCCO1<sep>21.61769<sep>CC1COC(=O)O1<sep>74.58971<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,59.0,3.842931
F[P-](F)(F)(F)(F)F.[Li+]<sep>4.189567<sep>O=C1OCCO1<sep>32.21865<sep>CCOC(=O)OC<sep>63.59179<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,20.0,3.808243
O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+]<sep>0.82873<sep>CC1COC(=O)O1<sep>32.87678<sep>CCOC(=O)OCC<sep>66.29449<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-10.0,2.841283
O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+]<sep>6.212484<sep>CC1COC(=O)O1<sep>93.78752<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,29.4,3.618939
F[B-](F)(F)F.[Li+]<sep>13.00169<sep>CC1COC(=O)O1<sep>46.66805<sep>CCOC(=O)OCC<sep>40.33026<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-10.0,2.993171
F[B-](F)(F)F.[Li+]<sep>8.349551<sep>O=C1OCCO1<sep>30.81975<sep>CCOC(=O)OC<sep>60.8307<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,50.14085,3.594235
O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+]<sep>6.10881<sep>CC1COC(=O)O1<sep>62.73681<sep>C1COCCO1<sep>31.15438<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,39.3,3.945171
F[B-](F)(F)F.[Li+]<sep>7.793579<sep>CC1COC(=O)O1<sep>49.46181<sep>CCOC(=O)OCC<sep>42.74461<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-0.2,3.208573
O=S(=O)([O-])C(F)(F)F.[Li+]<sep>7.840401<sep>CC1COC(=O)O1<sep>92.1596<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,91.57689,3.682759
F[B-](F)(F)F.[Li+]<sep>3.589568<sep>O=C1OCCO1<sep>46.93128<sep>CC1COC(=O)O1<sep>49.47915<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-29.5,2.904932
O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+]<sep>7.840401<sep>CC1COC(=O)O1<sep>92.1596<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-35.212,1.866667
O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+]<sep>9.406109<sep>COCCOC<sep>90.59389<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,39.40503,4.213793
F[P-](F)(F)(F)(F)F.[Li+]<sep>4.505497<sep>CC1COC(=O)O1<sep>78.52853<sep>CCOC(=O)OCC<sep>16.96598<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-0.2,3.548144
F[P-](F)(F)(F)(F)F.[Li+]<sep>5.679529<sep>CC1COC(=O)O1<sep>68.82852<sep>CCOC(=O)OCC<sep>25.49195<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-59.2,2.106871
O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+]<sep>2.695638<sep>O=C1OCCO1<sep>61.77793<sep>CC1COC(=O)O1<sep>35.52644<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,29.4,3.565431
F[B-](F)(F)F.[Li+]<sep>7.579396<sep>CC1COC(=O)O1<sep>67.44213<sep>CCOC(=O)OCC<sep>24.97847<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-40.0,2.575731
O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+]<sep>7.371816<sep>O=C1OCCO1<sep>67.62732<sep>CC1COC(=O)O1<sep>25.00086<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,9.7,3.291995
F[As-](F)(F)(F)(F)F.[Li+]<sep>3.924215<sep>O=C1OCCO1<sep>17.6599<sep>CC1COC(=O)O1<sep>78.41588<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,80.0,4.126456
F[P-](F)(F)(F)(F)F.[Li+]<sep>4.998467<sep>O=C1OCCO1<sep>28.30718<sep>CC1COC(=O)O1<sep>24.41778<sep>CCOC(=O)OC<sep>31.92657<sep>O=P(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F<sep>10.35<sep>O<sep>0<sep>,50.0,3.458686
F[B-](F)(F)F.[Li+]<sep>3.713831<sep>O=C1OCCO1<sep>31.95973<sep>CC1COC(=O)O1<sep>64.32644<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-29.5,2.884282
F[P-](F)(F)(F)(F)F.[Li+]<sep>8.995444<sep>O=C1OCCO1<sep>28.40567<sep>CC1COC(=O)O1<sep>24.50274<sep>CCOC(=O)OC<sep>32.03765<sep>O=P(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F<sep>6.058505<sep>O<sep>0<sep>,20.0,3.787295
F[B-](F)(F)F.[Li+]<sep>2.689084<sep>CC1COC(=O)O1<sep>71.01074<sep>CCOC(=O)OCC<sep>26.30018<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-0.2,3.231566
F[P-](F)(F)(F)(F)F.[Li+]<sep>13.29707<sep>O=C1OCCO1<sep>10.06644<sep>CCOC(=O)OC<sep>76.63649<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,40.0,3.94939
F[P-](F)(F)(F)(F)F.[Li+]<sep>4.547229<sep>CC1COC(=O)O1<sep>87.09023<sep>CCOC(=O)OCC<sep>8.362542<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-59.2,1.868527
O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+]<sep>5.832979<sep>O=C1OCCO1<sep>10.74549<sep>CC1COC(=O)O1<sep>83.42153<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-0.2,3.17558
O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+]<sep>1.192404<sep>CC1COC(=O)O1<sep>55.74568<sep>C1COCCO1<sep>43.06192<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-0.2,3.331519
F[B-](F)(F)F.[Li+]<sep>11.235<sep>CC1COC(=O)O1<sep>72.99462<sep>CCOC(=O)OCC<sep>15.77038<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-0.2,3.166331
F[P-](F)(F)(F)(F)F.[Li+]<sep>4.904226<sep>CCOC(=O)OC<sep>90.42399<sep>O=C1OCC(F)O1<sep>4.671784<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,50.0,3.530968
F[B-](F)(F)F.[Li+]<sep>6.955253<sep>O=C1OCCO1<sep>52.16716<sep>CC1COC(=O)O1<sep>40.87759<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,60.0,3.92993
F[P-](F)(F)(F)(F)F.[Li+]<sep>13.50659<sep>CCOC(=O)OC<sep>86.49341<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,0.0,3.539076
F[P-](F)(F)(F)(F)F.[Li+]<sep>13.96906<sep>CC1COC(=O)O1<sep>54.58367<sep>CCOC(=O)OCC<sep>31.44727<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,59.0,4.052694
O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+]<sep>9.389046<sep>O=C1OCCO1<sep>30.07599<sep>CC1COC(=O)O1<sep>60.53497<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,59.0,3.871535
O=S(=O)([O-])C(F)(F)F.[Li+]<sep>3.429525<sep>CS(C)=O<sep>96.57048<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,119.3275,4.27049
F[B-](F)(F)F.[Li+]<sep>13.89064<sep>CC1COC(=O)O1<sep>78.56539<sep>CCOC(=O)OCC<sep>7.543973<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-29.5,2.239283
O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+]<sep>9.406109<sep>COCCOC<sep>90.59389<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-44.7291,3.384046
O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+]<sep>5.61203<sep>CC1COC(=O)O1<sep>50.63205<sep>CCOC(=O)OCC<sep>43.75592<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-39.4,2.44435
F[P-](F)(F)(F)(F)F.[Li+]<sep>7.635921<sep>CC1COC(=O)O1<sep>49.54638<sep>CCOC(=O)OCC<sep>42.8177<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,19.5,3.83104
O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+]<sep>0.992831<sep>CC1COC(=O)O1<sep>32.82238<sep>CCOC(=O)OCC<sep>66.18479<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,39.3,3.273592
F[P-](F)(F)(F)(F)F.[Li+]<sep>7.185528<sep>O=C1OCCO1<sep>30.80739<sep>CC1COC(=O)O1<sep>62.00708<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,59.0,4.117308
F[P-](F)(F)(F)(F)F.[Li+]<sep>15.76576576576577<sep>O=c1occo1<sep>26.88760188760189<sep>O=C1OCCO1<sep>36.55083655083654<sep>CCOC(=O)OC<sep>20.7957957957958<sep>O<sep>0.0<sep>O<sep>0<sep>,50.0,3.995324
F[P-](F)(F)(F)(F)F.[Li+]<sep>4.341869<sep>CC1COC(=O)O1<sep>60.6918<sep>CCOC(=O)OCC<sep>34.96634<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,9.7,3.676479
F[P-](F)(F)(F)(F)F.[Li+]<sep>5.679529<sep>CC1COC(=O)O1<sep>68.82852<sep>CCOC(=O)OCC<sep>25.49195<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-0.2,3.583879
F[P-](F)(F)(F)(F)F.[Li+]<sep>4.947709<sep>CCOC(=O)OC<sep>95.05229<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,40.0,3.206826
F[B-](F)(F)F.[Li+]<sep>11.93621<sep>CC1COC(=O)O1<sep>29.19448<sep>CCOC(=O)OCC<sep>58.86931<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,59.0,3.441087
F[P-](F)(F)(F)(F)F.[Li+]<sep>2.797788<sep>CC1COC(=O)O1<sep>97.20221<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-0.2,3.389733
F[B-](F)(F)F.[Li+]<sep>3.626248<sep>CC1COC(=O)O1<sep>61.14583<sep>CCOC(=O)OCC<sep>35.22792<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,9.7,3.320031
O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+]<sep>3.987484<sep>COCCOC<sep>96.01252<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-0.57711,3.876579
[Li+].[O-][Cl+3]([O-])([O-])[O-]<sep>9.694296<sep>O=C1OCCO1<sep>61.61955<sep>COCCOCCOC<sep>28.68615<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,25.0,3.998299
F[P-](F)(F)(F)(F)F.[Li+]<sep>7.147324<sep>O=C1OCCO1<sep>26.08792<sep>CC1COC(=O)O1<sep>22.50344<sep>CCOC(=O)OC<sep>29.42355<sep>O=P(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F<sep>14.83777<sep>O<sep>0<sep>,10.0,3.537761
F[B-](F)(F)F.[Li+]<sep>13.21407<sep>CC1COC(=O)O1<sep>37.79395<sep>CCOC(=O)OCC<sep>48.99198<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-39.4,2.477943
F[P-](F)(F)(F)(F)F.[Li+]<sep>5.671423<sep>CC1COC(=O)O1<sep>50.60019<sep>CCOC(=O)OCC<sep>43.72839<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-10.0,3.494566
F[P-](F)(F)(F)(F)F.[Li+]<sep>14.88623<sep>O=C1OCCO1<sep>54.0382<sep>CC1COC(=O)O1<sep>31.07558<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,29.4,3.558985
F[P-](F)(F)(F)(F)F.[Li+]<sep>5.110735<sep>O=C1OCCO1<sep>29.61822<sep>CC1COC(=O)O1<sep>25.54868<sep>CCOC(=O)OC<sep>33.40524<sep>O=P(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F<sep>6.317124<sep>O<sep>0<sep>,50.0,3.972341
F[B-](F)(F)F.[Li+]<sep>7.298348<sep>O=C1OCCO1<sep>45.1259<sep>CC1COC(=O)O1<sep>47.57575<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-0.2,3.370375
F[P-](F)(F)(F)(F)F.[Li+]<sep>19.37864<sep>CC1COC(=O)O1<sep>73.55819<sep>CCOC(=O)OCC<sep>7.063174<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,39.3,3.475816
F[P-](F)(F)(F)(F)F.[Li+]<sep>7.249683<sep>CC1COC(=O)O1<sep>84.62454<sep>CCOC(=O)OCC<sep>8.125782<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,59.0,4.105268
F[B-](F)(F)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F.[Li+]<sep>11.98103<sep>CC1COC(=O)O1<sep>88.01897<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,131.6309,3.838131
F[B-](F)(F)F.[Li+]<sep>6.957332<sep>CC1COC(=O)O1<sep>93.04267<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,9.7,3.41632
O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+]<sep>6.668742<sep>O=C1OCCO1<sep>20.97143<sep>CC1COC(=O)O1<sep>72.35983<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,9.7,3.349716
F[B-](F)(F)F.[Li+]<sep>8.843011<sep>CC1COC(=O)O1<sep>39.69748<sep>CCOC(=O)OCC<sep>51.45951<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-29.5,2.726878
F[P-](F)(F)(F)(F)F.[Li+]<sep>5.946816<sep>CC1COC(=O)O1<sep>59.67351<sep>CCOC(=O)OCC<sep>34.37967<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,9.7,3.719
O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+]<sep>7.013428<sep>O=C1OCCO1<sep>46.49329<sep>COC(=O)OC<sep>46.49329<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,3.979601,3.709258
F[P-](F)(F)(F)(F)F.[Li+]<sep>16.25382<sep>CC1COC(=O)O1<sep>27.76313<sep>CCOC(=O)OCC<sep>55.98305<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-59.2,1.323252
O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+]<sep>2.733286<sep>CC1COC(=O)O1<sep>42.35817<sep>CCOC(=O)OCC<sep>54.90854<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-39.4,2.715862
F[P-](F)(F)(F)(F)F.[Li+]<sep>8.491<sep>CC1COC(=O)O1<sep>91.509<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-59.2,1.06558
O=C1O[B-]2(OC1=O)OC(=O)C(=O)O2.[Li+]<sep>8.408243<sep>O=C1OCCO1<sep>39.92839<sep>CC1COC(=O)O1<sep>51.66336<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,9.7,3.191842
F[B-](F)(F)F.[Li+]<sep>3.184902<sep>CC1COC(=O)O1<sep>88.3332<sep>CCOC(=O)OCC<sep>8.481894<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,29.4,3.551188
F[P-](F)(F)(F)(F)F.[Li+]<sep>4.862049<sep>CC1COC(=O)O1<sep>69.42506<sep>CCOC(=O)OCC<sep>25.71289<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,19.5,3.781396
F[As-](F)(F)(F)(F)F.[Li+]<sep>9.334007<sep>O=S1(=O)CCCC1<sep>48.93422<sep>CC1CCS(=O)(=O)C1<sep>41.73178<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-10.0,2.491362
F[P-](F)(F)(F)(F)F.[Li+]<sep>4.206501<sep>O=C1OCCO1<sep>32.21295<sep>CCOC(=O)OC<sep>63.58055<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-20.0,3.42348
F[B-](F)(F)F.[Li+]<sep>14.82929<sep>CC1COC(=O)O1<sep>70.03891<sep>CCOC(=O)OCC<sep>15.13181<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-39.4,1.948847
F[P-](F)(F)(F)(F)F.[Li+]<sep>12.35967796802358<sep>O=c1occo1<sep>10.31863023018483<sep>O=C1OCCO1<sep>26.61299467059757<sep>CCOC(=O)OC<sep>50.70869713119401<sep>O<sep>0.0<sep>O<sep>0<sep>,10.0,3.694075999999999
F[P-](F)(F)(F)(F)F.[Li+]<sep>6.685172<sep>CC1COC(=O)O1<sep>50.05639<sep>CCOC(=O)OCC<sep>43.25844<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-0.2,3.621592
F[B-](F)(F)F.[Li+]<sep>7.503946<sep>CC1COC(=O)O1<sep>67.49719<sep>CCOC(=O)OCC<sep>24.99887<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,29.4,2.993751
F[P-](F)(F)(F)(F)F.[Li+]<sep>20.63019<sep>CC1COC(=O)O1<sep>34.56435<sep>CCOC(=O)OCC<sep>44.80546<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,-29.5,2.01157
F[P-](F)(F)(F)(F)F.[Li+]<sep>5.143582<sep>CC1COC(=O)O1<sep>60.18314<sep>CCOC(=O)OCC<sep>34.67328<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,49.2,3.997779
F[P-](F)(F)(F)(F)F.[Li+]<sep>3.835833<sep>O=C1OCCO1<sep>31.68127<sep>CC1COC(=O)O1<sep>27.32827<sep>CCOC(=O)OC<sep>35.73207<sep>O=P(OCC(F)(F)F)(OCC(F)(F)F)OCC(F)(F)F<sep>1.422556<sep>O<sep>0<sep>,20.0,3.813269
F[B-](F)(F)F.[Li+]<sep>8.580961<sep>CC1COC(=O)O1<sep>66.71126<sep>CCOC(=O)OCC<sep>24.70778<sep>O<sep>0.0<sep>O<sep>0.0<sep>O<sep>0<sep>,9.7,3.377284
