,log(cond) (uS/cm),conc1,conc2,conc3,conc4,conc5,conc6,smiles1,smiles2,smiles3,smiles4,smiles5,smiles6,temperature ( C )
10710,3.711614,2.13718,21.98966,75.87316,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,C1COC(=O)O1,CC1COC(=O)O1,O,O,O,59.0
9838,3.915679,6.587202,59.3072,34.1056,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,C1COC(=O)O1,CC1COC(=O)O1,O,O,O,59.0
3832,3.663016,15.11464,77.44862,7.436739,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,59.0
283,3.615849,15.76576576576577,26.88760188760189,36.55083655083654,20.7957957957958,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,C1=COC(=O)O1,C1COC(=O)O1,CCOC(=O)OC,O,O,20.0
848,4.096786,10.43091,31.29438,58.27471,0.0,0.0,0,[Li+].[O-]Cl(=O)(=O)=O,C1COC(=O)O1,COCCOCCOC,O,O,O,50.0
3566,3.726999,7.34056,76.19715,16.46229,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,49.2
12127,4.229967,7.797728,27.80021,31.35478,33.04728,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,C1COC(=O)O1,CCOC(=O)OC,CC(=O)OC,O,O,40.0
2113,1.65887,10.6308,56.70169,32.66752,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,-59.2
8990,2.984732,1.103211,62.74661,36.15018,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,-10.0
5490,4.096414,6.072632,93.92737,0.0,0.0,0.0,0,[Li+].O=C1CC(=O)O[B-]2(O1)OC(=O)CC(=O)O2,CS(=O)C,O,O,O,O,75.0
6224,3.606946,3.745709,87.82153,8.432763,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,9.7
9829,3.832133,5.7222,59.85638,34.42142,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,C1COC(=O)O1,CC1COC(=O)O1,O,O,O,49.2
8427,3.621927,3.182501,88.33539,8.482105,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,39.3
11982,3.71992,6.181615,83.11742,10.70097,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,O1CCOCC1,O,O,O,29.4
10275,3.256826,2.345747,97.65425,0.0,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,O,O,O,O,9.7
8535,3.403313,11.64466,80.6146,7.740742,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,19.5
4237,3.447514,4.935158,95.06484,0.0,0.0,0.0,0,[Li+].[O-]Cl(=O)(=O)=O,COCCOC,O,O,O,O,4.784176
11030,2.724777,2.762733,32.23563,65.00164,0.0,0.0,0,[Li+].[B-]12(OC(=O)C(=O)O1)OC(=O)C(=O)O2,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,-39.4
3858,3.095887,2.8919,61.61175,35.49635,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,-10.0
8656,3.431875,5.202692,60.14563,34.65168,0.0,0.0,0,[Li+].[B-](F)(F)(F)F,CC1COC(=O)O1,CCOC(=O)OCC,O,O,O,19.5
653,3.884671,7.013428,46.49329,46.49329,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,C1COC(=O)O1,COC(=O)OC,O,O,O,3.376446
13614,3.39794,7.192137,45.6066,47.20127,0.0,0.0,0,[Li+].C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,COCCO,C1CC(=O)OC1,O,O,O,-30.0
13714,4.046322,8.211709,27.97475,63.81354,0.0,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,C1COC(=O)O1,COC(=O)OC,O,O,O,20.0
186,3.430435,15.21527716382283,26.75271859252055,45.22146582972328,12.81053841393334,0.0,0,[Li+].F[P-](F)(F)(F)(F)F,C1=COC(=O)O1,C1COC(=O)O1,CCOC(=O)OC,O,O,0.0
